stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
2218493,24620140,"Lemmer, Houtmolen",52.843769,5.717845,0,stoparea:356295,null,0,null,CXX:24620140
6559,24620140,"Lemmer, Houtmolen",52.843706,5.717904,0,stoparea:1424,null,0,null,null
480533,24620700,"Lemmer, Ir. D.F. Woudagemaal",52.849434,5.686062,0,null,null,1,null,null
480536,24620710,"Lemmer, Ir. D.F. Woudagemaal",52.849426,5.685572,0,null,null,1,null,null
5939,24540100,"Lemmer, Lemsterhoek",52.854868,5.668626,0,null,null,1,null,null
5750,24540110,"Lemmer, Lemsterhoek",52.855799,5.666405,0,null,null,1,null,null
7896,24620080,"Lemmer, Lemsterpad",52.838387,5.71776,0,stoparea:1037,null,0,null,null
7155,24620040,"Lemmer, Orion",52.851985,5.710663,0,stoparea:1051,null,0,null,null
5510,24620910,"Lemmer, Orion",52.851759,5.711151,0,stoparea:1051,null,0,null,null
343140,24621200,"Lemmer, Pampusstraat",52.846357,5.711497,0,stoparea:117036,null,1,null,null
343152,24621210,"Lemmer, Pampusstraat",52.846359,5.71074,0,stoparea:117036,null,1,null,null
401275,24620020,"Lemmer, Schouw",52.840302,5.720654,0,stoparea:136670,null,1,null,null
6639,24621300,"Lemmer, Urkerstraat",52.847956,5.704889,0,stoparea:1032,null,0,null,null
1530031,24621310,"Lemmer, Urkerstraat",52.84755,5.705628,0,stoparea:1032,null,0,null,null
675047,43350130,"Lemselo, Morsweg",52.33455,6.889797,0,stoparea:157520,null,0,null,null
1379177,43350140,"Lemselo, Morsweg",52.335293,6.883674,0,stoparea:157520,null,0,null,null
676032,43350290,"Lemselo, Ootmarsumsedijk",52.33031,6.915521,0,stoparea:157521,null,0,null,null
500088,43350300,"Lemselo, Ootmarsumsedijk",52.330389,6.914995,0,stoparea:157521,null,0,null,null
675222,43350110,"Lemselo, Oude Weerseloseweg",52.33623,6.876412,0,stoparea:157522,null,0,null,null
672282,43350120,"Lemselo, Oude Weerseloseweg",52.33668,6.87562,0,stoparea:157522,null,0,null,null
